n_topic,seed_a,seed_b,iter_a,iter_b,passes_a,passes_b,mean,median,min,max,std,mad,corpus
10,0,1,50,100,1,2,0.517717958,0.518518519,0.42519685,0.657718121,0.040715592,0.040389016,5
10,2,3,50,100,1,2,0.524146338,0.518518519,0.4,0.675496689,0.046273771,0.03302924,5
10,4,5,50,100,1,2,0.523730194,0.523965142,0.360655738,0.666666667,0.054065007,0.055131871,5
10,6,7,50,100,1,2,0.51955983,0.518518519,0.412698413,0.630136986,0.043317387,0.047748792,5
10,8,9,50,100,1,2,0.506974165,0.507462687,0.347107438,0.630136986,0.052232339,0.050675629,5
10,10,11,50,100,1,2,0.497236628,0.496240602,0.37398374,0.611111111,0.04382249,0.034037766,5
10,12,13,50,100,1,2,0.517593757,0.523965142,0.37398374,0.601398601,0.048606488,0.048118137,5
10,14,15,50,100,1,2,0.500777629,0.507462687,0.387096774,0.591549296,0.040555467,0.033527815,5
10,16,17,50,100,1,2,0.508981547,0.507462687,0.37398374,0.630136986,0.050567871,0.050675629,5
10,18,19,50,100,1,2,0.502836705,0.507462687,0.4,0.620689655,0.043783939,0.048456259,5
10,20,21,50,100,1,2,0.522034208,0.529411765,0.37398374,0.630136986,0.044015666,0.047056708,5
10,22,23,50,100,1,2,0.521641147,0.518518519,0.412698413,0.630136986,0.05141334,0.049919192,5
10,24,25,50,100,1,2,0.510490655,0.507462687,0.387096774,0.611111111,0.051263878,0.064140169,5
10,26,27,50,100,1,2,0.496005725,0.490544543,0.387096774,0.601398601,0.052137782,0.059155267,5
10,28,29,50,100,1,2,0.50244776,0.507462687,0.360655738,0.639455782,0.050221224,0.040992037,5
10,30,31,50,100,1,2,0.509336302,0.507462687,0.412698413,0.611111111,0.049996565,0.048456259,5
10,32,33,50,100,1,2,0.514868792,0.518518519,0.4,0.657718121,0.052748932,0.063207034,5
10,34,35,50,100,1,2,0.507746343,0.507462687,0.4,0.601398601,0.041696507,0.048456259,5
10,36,37,50,100,1,2,0.510395122,0.507462687,0.42519685,0.601398601,0.037709753,0.033527815,5
10,38,39,50,100,1,2,0.522087031,0.529411765,0.37398374,0.639455782,0.053266364,0.047056708,5
10,40,41,50,100,1,2,0.50595018,0.507462687,0.4,0.620689655,0.041966268,0.048456259,5
10,42,43,50,100,1,2,0.519294819,0.518518519,0.4,0.657718121,0.052290601,0.047748792,5
10,44,45,50,100,1,2,0.520476725,0.518518519,0.4,0.657718121,0.059534574,0.063207034,5
10,46,47,50,100,1,2,0.516653838,0.518518519,0.387096774,0.657718121,0.049270634,0.049919192,5
10,48,49,50,100,1,2,0.50831765,0.507462687,0.412698413,0.657718121,0.04664184,0.048456259,5
10,50,51,50,100,1,2,0.520752793,0.518518519,0.42519685,0.620689655,0.045003924,0.047748792,5
10,52,53,50,100,1,2,0.512541212,0.496240602,0.387096774,0.717948718,0.071242366,0.065094122,5
10,54,55,50,100,1,2,0.510937297,0.507462687,0.4,0.639455782,0.049268651,0.048456259,5
10,56,57,50,100,1,2,0.534693097,0.529411765,0.42519685,0.701298701,0.053905076,0.049179567,5
10,58,59,50,100,1,2,0.503572581,0.507462687,0.387096774,0.639455782,0.048072763,0.048456259,5
10,60,61,50,100,1,2,0.520885078,0.518518519,0.37398374,0.639455782,0.05302078,0.056563113,5
10,62,63,50,100,1,2,0.517428121,0.512990603,0.387096774,0.734177215,0.061774821,0.071402723,5
