,0,1,label
0,27780859.0, Human exportin-1 XPO1   key nuclear-cytoplasmic transport protein  export different cargo proteins    nucleus induce nuclear accumulation   protein  inhibit xpo1  cancer cell death  clinical validation  pharmacological inhibition  XPO1     Selective Inhibitor  Nuclear Export SINE compound selinexor KPT-330  activity  phase-ii/iib clinical trial  dose <NUMBER>  <NUMBER> time weekly  second-generation SINE compound KPT-8602   tolerability    dose daily     validate  drug-target interaction  KPT-8602  explore  activity  acute lymphoblastic leukemia  experimental Design  examine    KPT-8602  XPO1 function  xpo1-cargo      panel  leukemia cell line Mutant XPO1 leukemia cell  design  validate KPT-8602  drug-target interaction  vivo anti-all activity  measure   mouse  model  patient-derived  xenograft models.results KPT-8602 induce caspase-dependent apoptosis   panel  leukemic cell line  vitro  CRISPR/Cas9 genome editing    specificity  KPT-8602  cysteine <NUMBER>   cargo-binding groove  XPO1  validate  drug target interaction  vivo KPT-8602  potent anti-leukemia activity   mouse  model     patient-derived   B-ALL xenograft model without affect normal hematopoiesis.conclusions KPT-8602   specific  xpo1 inhibition   potent anti-leukemic activity  clinical application   second-generation SINE compound   treatment   Clin Cancer Res <NUMBER> <NUMBER> <NUMBER> ©2016 AACR,crispr
1,28945328.0,  already report   inactivated Sendai virus hemagglutinate virus  Japan HVJ envelope HVJ-E  multiple anticancer   induction  cancer-selective cell death  activation  anticancer immunity  hvj-e stimulates dendritic cell  produce cytokine  chemokines   β-interferon interleukin-6 chemokine C-C motif ligand <NUMBER>  chemokine C-X-C motif ligand <NUMBER>  activate  CD8+  cell  natural killer NK cell  recruit    tumor microenvironment     HVJ-E  modulate  sensitivity  cancer cell  immune cell attack  yet          HVJ-E induce  production  intercellular adhesion molecule-1 ICAM-1 CD54  ligand  lymphocyte function-associated antigen <NUMBER>   cancer cell line   activation  nuclear factor-κb downstream  retinoic acid-inducible gene    mitochondrial antiviral signal pathway  upregulation  ICAM-1   surface  cancer cell   sensitivity  cancer cell  NK cell knock  expression  ICAM-1  MDA-MB-231 cell   CRISPR/Cas9   reduce  kill   NK cell  icam-1-depleted MDA-MB-231 cell  addition HVJ-E suppress tumor growth  MDA-MB-231 tumor-bearing SCID mouse   HVJ-E antitumor   impair  NK cell  deplete  treatment   anti-asialo GM1 antibody     HVJ-E enhances NK cell sensitivity  cancer cell   icam-1 expression   cancer cell surface,crispr
2,29340096.0,mesenchymal stem cell MSCs  multipotent non-hematopoietic progenitor cell   undergo self-renewal  differentiate  multi-lineages Bone marrow stromal stem cell BMSCs      commonly-used MSCs  order  overcome  technical challenge  maintain primary BMSCs  long-term culture   seek  establish reversibly immortalized mouse BMSCs imbmscs  exploit crispr/cas9-based homology-directed-repair HDR mechanism  target SV40T  mouse Rosa26 locus  efficiently immortalize mouse BMSCs  imbmscs   immortalize BMSCs  retroviral vector SSR  <NUMBER>  establish imbmsc41    line  imbmscs  imbmsc41  long-term proliferative capability  imbmsc41 cell    proliferation rate SV40T mrna expression  <NUMBER>    imbmsc41    imbmscs  FLP expression lead  <NUMBER>  reduction  SV40T expression  imbmscs   <NUMBER>   imbmsc41 cell quantitative genomic PCR     average copy number  SV40T  hygromycin  <NUMBER>  imbmscs  <NUMBER>  imbmsc41  moreover FLP expression remove <NUMBER>   SV40T  imbmscs   genome DNA level   <NUMBER>     imbmsc41 cell  CRISPR/Cas9 hdr-mediated immortalization  BMSCs    effectively reverse    retrovirus-mediated random integration nonetheless  imbmscs  imbmsc41 line express MSC marker    responsive  BMP9-induced osteogenic chondrogenic  adipogenic differentiation  vitro   vivo   engineered imbmscs      promising alternative source  primary MSCs  basic  translational research   field  MSC biology  regenerative medicine,crispr
3,29483625.0, development  human-induced pluripotent stem cell hipscs  make possible patient-specific modeling   spectrum  human disease   discuss recent advance  psychiatric genomics  post-mortem   provide critical insight concern cell-type composition  sample size    consider  design hipsc-based   complex genetic disease  review recent hipsc-based model  SZ  light   new understanding  critical power limitation   design  hipsc-based   complex genetic disorder  possible solution   movement towards genetically stratify cohort  rare variant patient application  CRISPR technology  engineer isogenic neural cell      common variant  integration  advanced genetics  hipsc-based datasets    overall  emphasize   advance  reproducibility  relevance  hipsc-based  stem cell biologist must contemplate statistical  biological consideration   already  accept   field  genetics  conclude      hypothesis  biological convergence  disease-through molecular cellular circuit  patient level phenotypes-and   might emerge  hipsc-based ,crispr
4,29785355.0, seed oil  Jatropha curcas  consider  potential bioenergy source   replace fossil fuel   seed yield  Jatropha     yet     previously report  exogenous cytokinin treatment   seed yield  Jatropha Cytokinin level  directly regulate  isopentenyl transferase IPT cytochrome P450 monooxygenase family <NUMBER> subfamily  CYP735A  cytokinin oxidase/dehydrogenase CKX     clone  IPT gene  JcCYP735A gene   JcCKX gene  expression pattern   <NUMBER> gene  various organ    real-time quantitative PCR JcIPT1  primarily express  root  seed JcIPT2  express  root apical meristem  mature leaf JcIPT3  express  stem  mature leaf JcIPT5  express  root  mature leaf JcIPT6  express  seed  <NUMBER> day  pollination  JcIPT9  express  mature leaf JcCYP735A  mainly express  root flower bud  seed   JcCKX gene   different expression pattern  different organ  Jatropha  addition CK level    flower bud  seed  different stage  development  concentration  N6 δ2-isopentenyl adenine ip ip-riboside  trans-zeatin tz   flower development   concentration  ip decrease  seed development    tz      function  JcCYP735A   CRISPR-Cas9 system     concentration  tz  tz-riboside decrease    Jccyp735a mutant   severely retarded growth     helpful      function  cytokinin metabolic gene    role  cytokinin  Jatropha growth  development,crispr
5,30018554.0,   zebrafish larva  basic  apply research  grow exponentially   last <NUMBER> year  reason   success lay   specific experimental     hand  small size   number  progeny   fast life cycle greatly facilitate large-scale   maintain <NUMBER> amenability    hand  genetic  physiological homology  human  ease  genetic manipulation make zebrafish larvae   robust model   human disease together     zebrafish larva   high-throughput research   term  chemical  genetic phenotypic screening therefore  zebrafish larva   animal model  place   reductionist  vitro high-throughput screening  informative  low-throughput preclinical assay  mammal  despite  biological   grow translational validation zebrafish  scarcely    drug discovery pipeline   context    pharmaceutical industry  face  productivity crisis  bring new drug   market  combined   zebrafish   CRISPR/Cas9 system   powerful technology  genomic editing  date   potential  become  valuable tool  streamline  generation  model mimic human disease  validation  novel drug target   discovery  new therapeutic  review  focus    recent advance  CRISPR/Cas9 implementation  zebrafish    potential us  biomedical research  drug discovery,crispr
6,30042156.0,angiopoietin-like protein ANGPTL <NUMBER>   liver  adipocyte-derived protein   plasma triglyceride TG level  animal    mouse model   generate  Angptl8 KO rat model   clustered regulatory interspaced short palindromic repeat CRISPR crispr-associated protein <NUMBER> Cas9 CRISPR/Cas9 system  clarify  role  ANGPTL8  glucose  lipid metabolism   WT rat Angptl8 KO rat   body weight  fat content   impaired lipogenesis  adipocytes  difference exist     food intake  rectal temperature Plasma TG level    fast  refed state     KO   WT rat   oral fat tolerance   decreased plasma TG excursion  Angptl8 KO rat  level  lipase activity   heart  great expression  gene relate  β-oxidation  heart  skeletal muscle    Angptl8 KO rat      difference  KO  WT rat  glucose metabolism   histology  pancreatic β-cells   standard  high-fat diet      Angptl8 KO  rat    body weight  plasma TG level without affect glucose metabolism ANGPTL8 might   important therapeutic target  obesity  dyslipidemia,crispr
7,30716580.0,Human Cytomegalovirus HCMV   opportunistic pathogen   substantial disease  neonate  immunocompromised individual Reverse genetic    HCMV genome   powerful tool  dissect  role  various viral gene   infection  genetic engineering  HCMV  hamper     size   HCMV genome  HCMV  slow replication cycle currently  laboratory  genetically engineer HCMV employ Bacterial Artificial Chromosome BAC mediate recombineering    relatively lengthy process  explore  alternative   produce recombinant HCMV   CRISPR/Cas9 system  employ  homologous recombination HR  non-homologous end-joining NHEJ based        capable  efficiently mutate  HCMV genome  optimal efficiency  <NUMBER>   <NUMBER>       crispr-mediated genomic engineering  HCMV  competitive  bac-mediated recombineering  provide  framework   CRISPR/Cas9  mutational    HCMV genome,crispr
8,30996081.0,Monogenic lung disease     mutation  surfactant gene   pulmonary epithelium  mark  perinatal lethal respiratory failure  chronic diffuse parenchymal lung disease   therapeutic option   CRISPR fluorescent reporter system    precisely time  utero intra-amniotic delivery  CRISPR-Cas9 gene edit reagent  fetal development   targeted  specific gene edit  fetal lung Pulmonary epithelial cell  predominantly target     alveolar type <NUMBER> alveolar type <NUMBER>  airway secretory cell    persistent gene edit      utero     therapeutic   reduce  severity   lethal interstitial lung disease    mouse model   human SFTPCI73T mutation embryonic expression  SftpcI73T allele    severe diffuse parenchymal lung damage  rapid demise  mutant mouse  birth   utero crispr-cas9-mediated inactivation   mutant SftpcI73T gene fetus  postnatal mouse  improved lung morphology   survival  proof-of-concept     utero gene editing   promising   treatment  rescue  monogenic lung disease   lethal  birth,crispr
9,31282064.0,hepatitis  virus HBV infection  aflatoxin B1 AFB1 exposure   recognize  independent risk factor   occurrence  exacerbation  hepatic steatosis   combined    potential mechanism     elucidate     exposure  AFB1 impaired mitochondrial dynamic   intracellular lipid droplet LDs   liver  HBV-transgenic mouse  vivo   hepatitis  virus  protein HBx expressing human hepatocytes  ex vivo   vitro HBx combine  AFB1 exposure  up-regulated receptor interaction protein <NUMBER> RIP1 receptor interaction protein <NUMBER> RIP3  activate mixed lineage kinase domain like protein MLKL provide evidence  necrosome formation   hepatocytes  shift   mitochondrial dynamic towards imbalance  fission  fusion  rescue  MLKL  inhibit   HBx  AFB1 co-treated hepatocytes  importantly base  sirna  CRISPR/Cas9 system     combination  HBx  AFB1 exposure  cyclooxygenase-2 COX-2  mediate up-regulation  RIP3  dynamin-related protein <NUMBER> Drp1   turn promote location  RIP3-MLKL necrosome  mitochondrion subsequently exacerbate steatosis  hepatocytes take together   advance  understanding  mechanism   HBx  AFB1-induced hepatic necrosome formation mitochondrial dysfunction  steatosis  make COX-2  good candidate  treatment,crispr
